20210001,JCKC0001,71.03,2021-01-11
20210001,JCKC0002,71.56,2021-06-12
20210001,JCKC0003,77.99,2021-01-13
20210001,ZYBX0001,71.38,2022-06-14
20210001,ZYBX0002,71.27,2022-01-15
20210001,ZYBX0003,88.38,2022-06-16
20210001,ZYXX0001,65.36,2023-01-17
20210001,ZYXX0002,59.95,2023-06-18
20210001,BYSJ0001,83.93,2023-01-19
20220002,JCKC0002,68.23,2022-01-12
20220002,JCKC0003,90.78,2022-06-13
20220002,JCKC0004,71.68,2022-01-14
20220002,ZYBX0003,90.67,2023-06-15
20220002,ZYBX0004,93.89,2023-01-16
20220002,ZYBX0005,77.88,2023-06-17
20220002,ZYXX0002,93.72,2024-01-18
20220002,ZYXX0003,91.98,2024-06-19
20220002,ZYXX0004,96.32,2024-01-20
20230003,JCKC0003,73.15,2023-01-13
20230003,JCKC0004,84.04,2023-06-14
20230003,JCKC0005,76.76,2023-01-15
20230003,ZYBX0005,52.21,2024-06-16
20230003,ZYBX0006,99.20,2024-01-17
20230003,ZYBX0007,84.53,2024-06-18
20230003,ZYXX0003,59.18,2025-01-19
20240004,JCKC0004,78.85,2024-01-14
20240004,JCKC0005,68.31,2024-06-15
20240004,JCKC0006,74.21,2024-01-16
20240004,ZYBX0007,77.11,2025-06-17
20240004,ZYBX0008,64.21,2025-01-18
20240004,ZYBX0009,85.75,2025-06-19
20240004,ZYXX0004,98.74,2026-01-20
20240004,ZYXX0005,85.60,2026-06-21
20210005,JCKC0005,78.28,2021-01-15
20210005,JCKC0006,76.94,2021-06-16
20210005,JCKC0007,82.76,2021-01-17
20210005,ZYBX0009,78.83,2022-06-18
20210005,ZYBX0010,94.14,2022-01-19
20210005,ZYBX0011,98.15,2022-06-20
20210005,ZYXX0005,88.15,2023-01-21
20210005,ZYXX0006,68.77,2023-06-22
20220006,JCKC0006,83.19,2022-01-16
20220006,JCKC0007,72.47,2022-06-17
20220006,JCKC0008,82.63,2022-01-18
20220006,ZYBX0011,60.23,2023-06-19
20220006,ZYBX0012,63.07,2023-01-20
20220006,ZYBX0001,90.62,2023-06-21
20220006,ZYXX0006,89.75,2024-01-22
20220006,ZYXX0007,70.77,2024-06-23
20220006,ZYXX0008,99.79,2024-01-24
20230007,JCKC0007,75.06,2023-01-17
20230007,JCKC0008,84.75,2023-06-18
20230007,JCKC0009,58.59,2023-01-19
20230007,ZYBX0001,70.96,2024-06-20
20230007,ZYBX0002,62.06,2024-01-21
20230007,ZYBX0003,95.89,2024-06-22
20230007,ZYXX0007,62.61,2025-01-23
20240008,JCKC0008,77.42,2024-01-18
20240008,JCKC0009,76.30,2024-06-19
